"Código do Nível Geográfico";"Nível Geográfico";"Código do Item Geográfico";"Item Geográfico";"Ordem Geográfica";"Código do Item Temporal";"Nível Temporal";"Item Temporal";"Domicílio, espécie";"Domicílio, espécie (código)";"Domicílio, espécie (ordem)";"Moradores, número (operação: Soma)";"Frequência";"Observações"
"9115";"Município (1991)";"510030";"Alto Araguaia";"126";"1991";"8004";"1991";"Particular permanente";"1";"1";"9.848";"2496";"2496"
"9115";"Município (1991)";"240070";"Alto do Rodrigues";"127";"1991";"8004";"1991";"Particular permanente";"1";"1";"8.196";"1825";"1825"
"9115";"Município (1991)";"510040";"Alto Garças";"128";"1991";"8004";"1991";"Particular permanente";"1";"1";"8.163";"2071";"2071"
"9115";"Município (1991)";"315350";"Alto Jequitibá";"129";"1991";"8004";"1991";"Particular permanente";"1";"1";"7.389";"1897";"1897"
"9115";"Município (1991)";"220030";"Alto Longá";"130";"1991";"8004";"1991";"Particular permanente";"1";"1";"15.575";"3268";"3268"
"9115";"Município (1991)";"510050";"Alto Paraguai";"131";"1991";"8004";"1991";"Particular permanente";"1";"1";"13.774";"3164";"3164"
"9115";"Município (1991)";"520060";"Alto Paraíso de Goiás";"132";"1991";"8004";"1991";"Particular permanente";"1";"1";"4.084";"886";"886"
"9115";"Município (1991)";"410060";"Alto Paraná";"133";"1991";"8004";"1991";"Particular permanente";"1";"1";"12.040";"3009";"3009"
"9115";"Município (1991)";"210050";"Alto Parnaíba";"134";"1991";"8004";"1991";"Particular permanente";"1";"1";"10.178";"1950";"1950"
"9115";"Município (1991)";"410070";"Alto Piquiri";"135";"1991";"8004";"1991";"Particular permanente";"1";"1";"17.132";"4185";"4185"
"9115";"Município (1991)";"310210";"Alto Rio Doce";"136";"1991";"8004";"1991";"Particular permanente";"1";"1";"14.080";"3282";"3282"
"9115";"Município (1991)";"320035";"Alto Rio Novo";"137";"1991";"8004";"1991";"Particular permanente";"1";"1";"7.488";"1659";"1659"
"9115";"Município (1991)";"230070";"Alto Santo";"138";"1991";"8004";"1991";"Particular permanente";"1";"1";"13.565";"2940";"2940"
"9115";"Município (1991)";"510060";"Alto Taquari";"139";"1991";"8004";"1991";"Particular permanente";"1";"1";"2.898";"723";"723"
"9115";"Município (1991)";"410050";"Altônia";"140";"1991";"8004";"1991";"Particular permanente";"1";"1";"24.407";"6036";"6036"
"9115";"Município (1991)";"220040";"Altos";"141";"1991";"8004";"1991";"Particular permanente";"1";"1";"38.656";"7663";"7663"
"9115";"Município (1991)";"130002";"Alvarães";"142";"1991";"8004";"1991";"Particular permanente";"1";"1";"8.433";"1207";"1207"
"9115";"Município (1991)";"310220";"Alvarenga";"143";"1991";"8004";"1991";"Particular permanente";"1";"1";"5.978";"1326";"1326"
"9115";"Município (1991)";"350120";"Álvares Florence";"144";"1991";"8004";"1991";"Particular permanente";"1";"1";"5.049";"1358";"1358"
"9115";"Município (1991)";"350130";"Álvares Machado";"145";"1991";"8004";"1991";"Particular permanente";"1";"1";"18.797";"4764";"4764"
"9115";"Município (1991)";"350140";"Álvaro de Carvalho";"146";"1991";"8004";"1991";"Particular permanente";"1";"1";"3.096";"739";"739"
"9115";"Município (1991)";"350150";"Alvinlândia";"147";"1991";"8004";"1991";"Particular permanente";"1";"1";"2.532";"600";"600"
"9115";"Município (1991)";"310230";"Alvinópolis";"148";"1991";"8004";"1991";"Particular permanente";"1";"1";"15.219";"3404";"3404"
