"Código do Nível Geográfico";"Nível Geográfico";"Código do Item Geográfico";"Item Geográfico";"Ordem Geográfica";"Código do Item Temporal";"Nível Temporal";"Item Temporal";"Domicílio, espécie";"Domicílio, espécie (código)";"Domicílio, espécie (ordem)";"Frequência";"Observações"
"9115";"Município (1991)";"310740";"Bom Despacho";"548";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"8677";"8677"
"9115";"Município (1991)";"210200";"Bom Jardim";"549";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"7997";"7997"
"9115";"Município (1991)";"330050";"Bom Jardim";"550";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"5165";"5165"
"9115";"Município (1991)";"260220";"Bom Jardim";"551";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"7919";"7919"
"9115";"Município (1991)";"420250";"Bom Jardim da Serra";"552";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"1017";"1017"
"9115";"Município (1991)";"520340";"Bom Jardim de Goiás";"553";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"1942";"1942"
"9115";"Município (1991)";"310750";"Bom Jardim de Minas";"554";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"1563";"1563"
"9115";"Município (1991)";"430230";"Bom Jesus";"555";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"4205";"4205"
"9115";"Município (1991)";"250220";"Bom Jesus";"556";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"353";"353"
"9115";"Município (1991)";"220190";"Bom Jesus";"557";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"3455";"3455"
"9115";"Município (1991)";"240170";"Bom Jesus";"558";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"1522";"1522"
"9115";"Município (1991)";"290390";"Bom Jesus da Lapa";"559";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"9241";"9241"
"9115";"Município (1991)";"310760";"Bom Jesus da Penha";"560";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"814";"814"
"9115";"Município (1991)";"290395";"Bom Jesus da Serra";"561";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"1904";"1904"
"9115";"Município (1991)";"520350";"Bom Jesus de Goiás";"562";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"3628";"3628"
"9115";"Município (1991)";"310770";"Bom Jesus do Amparo";"563";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"1080";"1080"
"9115";"Município (1991)";"310780";"Bom Jesus do Galho";"564";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"3939";"3939"
"9115";"Município (1991)";"330060";"Bom Jesus do Itabapoana";"565";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"7602";"7602"
"9115";"Município (1991)";"320110";"Bom Jesus do Norte";"566";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"2119";"2119"
"9115";"Município (1991)";"150157";"Bom Jesus do Tocantins";"567";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"3257";"3257"
"9115";"Município (1991)";"350710";"Bom Jesus dos Perdões";"568";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"2422";"2422"
"9115";"Município (1991)";"430235";"Bom Princípio";"569";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"1905";"1905"
"9115";"Município (1991)";"310790";"Bom Repouso";"570";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"2192";"2192"
"9115";"Município (1991)";"420260";"Bom Retiro";"571";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"1783";"1783"
"9115";"Município (1991)";"430240";"Bom Retiro do Sul";"572";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"3323";"3323"
"9115";"Município (1991)";"250230";"Bom Sucesso";"573";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"1402";"1402"
"9115";"Município (1991)";"310800";"Bom Sucesso";"574";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"4035";"4035"
"9115";"Município (1991)";"410320";"Bom Sucesso";"575";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"1690";"1690"
"9115";"Município (1991)";"310810";"Bonfim";"576";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"1823";"1823"
"9115";"Município (1991)";"140015";"Bonfim";"577";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"1929";"1929"
"9115";"Município (1991)";"520355";"Bonfinópolis";"578";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"840";"840"
"9115";"Município (1991)";"310820";"Bonfinópolis de Minas";"579";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"3111";"3111"
"9115";"Município (1991)";"290400";"Boninal";"580";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"2590";"2590"
"9115";"Município (1991)";"290405";"Bonito";"581";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"2264";"2264"
"9115";"Município (1991)";"500220";"Bonito";"582";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"3622";"3622"
"9115";"Município (1991)";"150160";"Bonito";"583";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"1628";"1628"
"9115";"Município (1991)";"260230";"Bonito";"584";"1991";"8004";"1991";"Particular permanente";"1,00";"1,00";"7985";"7985"
