cod_mun;mun;uf;dppo 1991;dppo 1996;dppo 2000;dppo 2010;dppo 2022;Particular 2022;Particular permanente 2022;Particular permanente não ocupado 2022
2408607;Paraná;RN;679;706;806;1123;1295;1611;1611;316
2408706;Paraú;RN;838;911;997;1107;1227;1720;1720;493
2408805;Parazinho;RN;758;818;964;1216;1492;2038;2036;544
2408904;Parelhas;RN;3868;4349;4876;6082;7754;10382;10374;2620
2408953;Rio do Fogo;RN;;;2014;2583;3128;5567;5553;2425
2409100;Passa e Fica;RN;1460;1684;2006;3060;3791;4712;4711;920
2409209;Passagem;RN;551;582;674;845;1077;1401;1401;324
2409308;Patu;RN;2602;2653;2871;3643;4030;5238;5238;1208
2409332;Santa Maria;RN;;;927;1315;1630;2205;2202;572
2409407;Pau dos Ferros;RN;4604;5191;6305;8040;10776;13041;13035;2259
2409506;Pedra Grande;RN;740;775;873;915;1093;1781;1776;683
2409605;Pedra Preta;RN;573;570;651;668;780;1083;1081;301
2409704;Pedro Avelino;RN;2283;1596;1865;1993;2064;2975;2971;907
2409803;Pedro Velho;RN;2682;2990;3156;3826;4496;5751;5749;1253
2409902;Pendências;RN;2577;2687;2931;3865;4206;5234;5232;1026
2410009;Pilões;RN;466;585;720;960;1045;1352;1351;306
2410108;Poço Branco;RN;2100;2271;2588;3365;3841;4753;4748;907
2410207;Portalegre;RN;1406;1479;1685;2140;2689;3443;3442;753
2410256;Porto do Mangue;RN;;;1023;1451;1737;2489;2489;752
2410306;Serra Caiada;RN;1354;1466;1637;2316;3209;3926;3922;713
2410405;Pureza;RN;1415;1350;1640;2161;3027;4000;3996;969
2410504;Rafael Fernandes;RN;767;931;1085;1350;1879;2300;2298;419
2410603;Rafael Godeiro;RN;689;727;791;959;1070;1483;1482;412
2410702;Riacho da Cruz;RN;555;611;672;920;932;1237;1237;305
2410801;Riacho de Santana;RN;857;921;1010;1226;1439;1824;1824;385
2410900;Riachuelo;RN;1145;1147;1333;1851;2345;3010;3002;657
2411007;Rodolfo Fernandes;RN;1052;1231;1057;1245;1518;1888;1888;370
2411056;Tibau;RN;;;731;1021;1843;5680;5679;3836
2411106;Ruy Barbosa;RN;704;805;837;969;1090;1613;1610;520
2411205;Santa Cruz;RN;6175;6671;7455;9928;12786;17061;17054;4268
2411403;Santana do Matos;RN;3655;3616;3724;4050;4476;6276;6275;1799
2411429;Santana do Seridó;RN;515;535;565;728;921;1334;1331;410
2411502;Santo Antônio;RN;4306;4698;4939;6394;7694;9687;9682;1988
2411601;São Bento do Norte;RN;1817;2252;789;795;1046;1395;1392;346
2411700;São Bento do Trairí;RN;710;736;760;1028;1295;1882;1880;585
2411809;São Fernando;RN;755;813;801;1003;1242;1621;1621;379
2411908;São Francisco do Oeste;RN;645;803;930;1172;1480;1868;1866;386
2412005;São Gonçalo do Amarante;RN;9451;12689;16643;24474;39827;54189;54174;14347
2412104;São João do Sabugi;RN;1227;1301;1447;1842;2256;2888;2886;630
2412203;São José de Mipibu;RN;5925;7082;8130;10823;15663;20802;20794;5131
2412302;São José do Campestre;RN;2605;2667;2867;3450;3718;5007;5005;1287
2412401;São José do Seridó;RN;661;790;915;1242;1546;1845;1841;295
2412500;São Miguel;RN;4564;4913;4958;6210;8266;10612;10608;2342
2412559;São Miguel do Gostoso;RN;;;1578;2201;3210;4738;4736;1526
2412609;São Paulo do Potengi;RN;3202;3636;3321;4550;5875;7592;7583;1708
2412708;São Pedro;RN;1422;1415;1565;1729;1925;2787;2783;858
2412807;São Rafael;RN;1750;1989;2133;2418;2734;3631;3630;896
2412906;São Tomé;RN;2606;2658;2733;3128;3523;4894;4889;1366
2413003;São Vicente;RN;1123;1203;1415;1813;2220;3037;3036;816
2413102;Senador Elói de Souza;RN;936;1055;1174;1551;2039;2730;2728;689
2413201;Senador Georgino Avelino;RN;549;622;728;1044;1251;1525;1520;269
2413300;Serra de São Bento;RN;1294;1158;1335;1586;1929;2765;2765;836
2413359;Serra do Mel;RN;1499;1517;1818;2818;4239;5752;5744;1505
2413409;Serra Negra do Norte;RN;1532;1609;1825;2153;2592;3092;3090;498
2413508;Serrinha;RN;1414;1507;1717;1789;2245;3098;3092;847
2413557;Serrinha dos Pintos;RN;;;1104;1372;1681;2168;2164;483
2413607;Severiano Melo;RN;2069;2253;2344;1732;1983;2601;2599;616
2413706;Sítio Novo;RN;943;970;1029;1427;1673;2340;2337;664
2413805;Taboleiro Grande;RN;435;502;518;690;824;1061;1061;237
2413904;Taipu;RN;2132;2161;2459;3056;3643;4984;4977;1334
2414001;Tangará;RN;2245;2437;2883;3919;4485;6110;6100;1615
2414100;Tenente Ananias;RN;1939;1864;2015;2663;3396;4117;4109;713
2414159;Tenente Laurentino Cruz;RN;;;1035;1544;1977;2520;2520;543
2414209;Tibau do Sul;RN;1188;1251;1725;3223;5985;8834;8833;2848
2414308;Timbaúba dos Batistas;RN;432;492;540;677;844;1027;1025;181
2414407;Touros;RN;5346;5501;5953;7926;10430;14438;14433;4003
2414456;Triunfo Potiguar;RN;;;859;924;1128;1493;1491;363
2414506;Umarizal;RN;2513;2637;2896;3133;3696;4663;4661;965
2414605;Upanema;RN;1842;2120;2636;3711;4678;6100;6099;1421
2414704;Várzea;RN;1829;1864;2005;1547;1810;2235;2234;424
2414753;Venha-Ver;RN;;;700;932;1017;1384;1384;367
2414803;Vera Cruz;RN;1740;2128;2057;2789;3553;4506;4504;951
2414902;Viçosa;RN;272;324;364;481;636;788;787;151
2415008;Vila Flor;RN;440;502;548;690;987;1176;1175;188
2500106;Água Branca;PB;1701;1871;1934;2562;3267;4434;4434;1167
2500205;Aguiar;PB;1497;1392;1376;1660;1836;2729;2729;893
2500304;Alagoa Grande;PB;6332;6806;7042;8014;8782;11780;11773;2991
2500403;Alagoa Nova;PB;4712;5039;4395;5435;6993;8682;8681;1688
2500502;Alagoinha;PB;2323;2567;2819;3702;4425;5522;5522;1097
2500536;Alcantil;PB;;;1238;1567;1999;2871;2868;869
2500577;Algodão de Jandaíra;PB;;;506;676;968;1397;1388;420
2500601;Alhandra;PB;2756;3243;3876;5023;7140;9140;9138;1998
2500700;São João do Rio do Peixe;PB;4574;4788;4306;5381;6317;8518;8516;2199
2500734;Amparo;PB;;;453;636;792;1194;1194;402
2500775;Aparecida;PB;;;1478;2209;2693;3424;3423;730
2500809;Araçagi;PB;4205;4387;4453;5017;5694;7404;7403;1709
2500908;Arara;PB;2325;2663;3131;3918;4333;6001;5999;1666
2501005;Araruna;PB;3852;4117;3995;5233;5768;8621;8614;2846
2501104;Areia;PB;5583;5473;5849;6355;7361;10191;10190;2829
2501153;Areia de Baraúnas;PB;;;447;488;673;932;932;259
2501203;Areial;PB;1311;1375;1458;1964;2469;3244;3243;774
2501302;Aroeiras;PB;6357;6480;4817;5431;6588;9227;9220;2632
2501351;Assunção;PB;;;700;1046;1395;1948;1947;552
2501401;Baía da Traição;PB;1088;1251;1463;2102;2794;5400;5398;2604
2501500;Bananeiras;PB;4769;4809;5023;5940;7524;10667;10664;3140
2501534;Baraúna;PB;;;842;1300;1729;2399;2399;670
2501575;Barra de Santana;PB;;;2060;2431;2938;4322;4320;1382
2501609;Barra de Santa Rosa;PB;3681;3923;3286;4199;4843;6916;6913;2070
2501708;Barra de São Miguel;PB;1197;1277;1324;1635;2105;3192;3191;1086
2501807;Bayeux;PB;16717;19169;21291;27961;28049;32942;32922;4873
2501906;Belém;PB;3570;4018;4533;5161;5838;7283;7283;1445
2502003;Belém do Brejo do Cruz;PB;1601;1648;1658;1973;2107;2823;2823;716
2502052;Bernardino Batista;PB;;;537;803;1124;1404;1404;280
2502102;Boa Ventura;PB;1162;1237;1429;1496;1733;2375;2374;641
2502151;Boa Vista;PB;;;1202;1731;2150;2766;2765;615
2502201;Bom Jesus;PB;353;407;518;699;805;1065;1065;260
2502300;Bom Sucesso;PB;1402;1417;1402;1517;1725;2516;2515;790
