cod_mun;mun;uf;AVG MDPPO 1991;AVG MDPPO 1996;AVG MPPO 2000;AVG MDPPO 2007;AVG MDPPO 2010;AVG MDPPO 2022;MDPPO 1991;MDPPO 1996;MPPO 2000;MDPPO 2007;MDPPO 2010;MDPPO 2022;DPPO 1991;DPPO 1996;DPPO 2000;DPPO 2007;DPPO 2010;DPPO 2022;DPP 2022;DPPV 2022;DPPUO 2022
1505700;Ponta de Pedras;PA;5,47;5,22;5,02;4,47;4,43;3,52;16428;17302;18617;24228;25817;24945;3005;3312;3710;5420;5828;7084;9480;1181;1215
1505809;Portel;PA;5,81;5,74;5,66;5,41;5,39;4,66;29283;33952;37122;45247;51760;61905;5044;5920;6561;8356;9606;13286;15204;1045;873
1505908;Porto de Moz;PA;5,82;6,50;5,78;5,08;5,52;4,47;15377;23888;22912;25896;33463;40564;2643;3675;3963;5100;6060;9065;10506;775;666
1506005;Prainha;PA;6,59;5,64;5,62;4,79;4,74;3,85;26696;21445;26976;26339;29143;35427;4053;3800;4801;5496;6150;9205;12546;1580;1761
1506104;Primavera;PA;5,25;5,01;4,72;4,12;3,88;3,07;16899;18875;9575;10362;10252;10818;3220;3769;2029;2518;2644;3528;4327;520;279
1506112;Quatipuru;PA;;;4,76;4,35;4,05;3,16;;;10881;11769;12377;11520;;;2288;2704;3055;3649;4434;437;348
1506138;Redenção;PA;4,75;4,37;4,17;3,81;3,71;3,04;55359;57651;62705;63913;73823;85146;11659;13184;15040;16783;19881;28022;34329;4071;2236
1506161;Rio Maria;PA;4,75;4,33;3,92;3,62;3,43;2,82;25725;19770;17336;16890;17659;18370;5416;4561;4421;4663;5155;6503;8179;1020;656
1506187;Rondon do Pará;PA;4,94;4,45;4,37;4,23;3,74;3,46;40481;35047;38808;44595;46881;52884;8197;7873;8888;10551;12535;15285;16320;651;384
1506195;Rurópolis;PA;5,21;5,03;4,71;4,51;4,22;3,92;19325;23589;24391;32821;39402;35625;3711;4686;5177;7272;9328;9079;11662;1745;838
1506203;Salinópolis;PA;5,42;5,10;4,81;4,38;4,07;3,30;22548;28323;33146;36729;36916;44544;4159;5550;6886;8385;9078;13482;24976;1749;9745
1506302;Salvaterra;PA;5,03;4,89;4,62;4,27;3,96;3,25;11844;13535;14569;17029;20068;24043;2355;2766;3153;3991;5070;7391;10097;1303;1403
1506351;Santa Bárbara do Pará;PA;;4,89;4,73;4,19;3,83;3,10;;11449;11306;13369;17104;21063;;2342;2388;3194;4460;6801;9470;1462;1207
1506401;Santa Cruz do Arari;PA;5,46;5,67;5,78;4,93;5,43;4,19;4758;4794;5592;5896;8151;7427;872;845;967;1197;1501;1771;2048;199;78
1506500;Santa Izabel do Pará;PA;5,03;4,65;4,41;3,98;3,71;3,09;33041;38532;41802;49968;56539;66485;6569;8280;9487;12546;15251;21491;26248;3164;1593
1506559;Santa Luzia do Pará;PA;;5,02;4,97;4,39;4,16;3,22;;18067;19056;18038;19335;20329;;3599;3837;4112;4645;6312;7901;1052;537
1506583;Santa Maria das Barreiras;PA;4,74;3,83;3,85;3,55;3,32;3,03;6855;10258;9459;15732;17059;16451;1445;2677;2456;4435;5141;5431;7903;1443;1029
1506609;Santa Maria do Pará;PA;4,90;4,61;4,32;3,81;3,62;2,90;17790;19870;20715;22071;22970;24551;3629;4311;4798;5795;6341;8460;10323;1325;538
1506708;Santana do Araguaia;PA;4,59;4,30;4,03;4,08;3,99;3,06;15430;20411;30631;48511;55188;32281;3363;4746;7609;11877;13832;10540;13811;2041;1230
1506807;Santarém;PA;5,42;5,05;4,89;;4,19;3,46;264407;262563;261037;;293675;330460;48771;52034;53338;;70015;95606;118386;13256;9524
1506906;Santarém Novo;PA;5,37;5,11;4,90;4,28;3,96;3,11;4486;4463;5434;5885;6131;6098;835;873;1108;1376;1547;1961;2538;187;390
1507003;Santo Antônio do Tauá;PA;5,08;5,03;4,55;4,06;3,82;3,11;17114;21378;19835;24773;26637;27410;3368;4250;4360;6104;6970;8807;12623;2237;1579
1507102;São Caetano de Odivelas;PA;5,53;5,41;4,91;4,35;3,97;3,22;21100;18988;15482;16132;16848;16651;3818;3510;3151;3705;4239;5177;6569;604;788
1507151;São Domingos do Araguaia;PA;;4,92;4,69;4,04;3,85;3,10;;17888;19704;21040;23100;21053;;3635;4205;5211;6003;6800;8516;1174;542
1507201;São Domingos do Capim;PA;5,60;5,53;5,36;4,98;4,65;3,61;42457;23799;27250;26825;29779;30585;7576;4306;5083;5387;6404;8463;10075;965;647
1507300;São Félix do Xingu;PA;4,86;4,68;4,52;4,16;4,05;3,13;22183;39783;33801;58602;90545;65124;4563;8506;7480;14100;22357;20836;26332;3197;2299
1507409;São Francisco do Pará;PA;5,10;4,69;4,66;3,92;3,81;3,01;11613;10152;14161;11889;15008;14882;2276;2166;3041;3033;3935;4949;6924;1102;873
1507458;São Geraldo do Araguaia;PA;5,08;4,76;4,44;3,91;3,73;3,13;38215;35942;27486;24781;25462;24153;7519;7556;6187;6335;6827;7711;9860;1395;754
1507466;São João da Ponta;PA;;;4,77;4,04;3,90;3,04;;;3885;4711;5261;4426;;;815;1165;1350;1456;2520;384;680
1507474;São João de Pirabas;PA;5,26;4,99;4,86;4,33;4,07;3,15;16081;16744;17368;18595;20537;20670;3060;3357;3577;4293;5043;6553;8738;1013;1172
1507508;São João do Araguaia;PA;5,13;4,60;4,90;4,19;4,03;3,10;19584;8081;11993;11448;13127;13612;3817;1756;2446;2735;3256;4390;6024;792;842
1507607;São Miguel do Guamá;PA;5,38;5,03;4,74;4,08;4,07;3,22;32788;35845;41013;42856;51421;52853;6096;7121;8646;10512;12641;16392;19527;2141;994
1507706;São Sebastião da Boa Vista;PA;6,01;5,68;5,65;4,96;4,72;3,89;14861;15781;17591;20446;22870;25539;2473;2779;3112;4126;4846;6560;7800;750;490
1507755;Sapucaia;PA;;;4,01;3,76;3,57;3,27;;;3741;4517;5008;5812;;;934;1201;1403;1776;2082;198;108
1507805;Senador José Porfírio;PA;5,63;5,78;5,09;4,41;3,92;3,42;28061;20587;15046;14123;12976;22231;4982;3560;2958;3202;3306;6498;8864;1264;1102
1507904;Soure;PA;5,33;5,23;4,93;4,40;4,14;3,41;17321;19145;19835;21331;22914;24176;3247;3660;4024;4852;5538;7083;9333;1033;1217
1507953;Tailândia;PA;5,04;4,91;4,76;4,43;4,80;3,35;17508;29368;37244;63426;79202;72364;3473;5984;7830;14318;16511;21587;24897;2223;1087
1507961;Terra Alta;PA;;4,89;4,82;4,21;3,95;3,10;;6816;8191;9839;10257;10393;;1395;1701;2338;2595;3355;4754;777;622
1507979;Terra Santa;PA;;6,05;5,76;4,89;4,67;3,75;;13030;14391;15303;16903;18747;;2154;2499;3132;3617;4998;6402;656;748
1508001;Tomé-Açu;PA;5,53;4,99;4,98;4,42;4,14;3,40;41133;44815;46974;46489;56213;67373;7444;8974;9439;10515;13565;19818;24171;2820;1533
1508035;Tracuateua;PA;;;5,14;4,53;4,23;3,27;;;22587;25694;27388;28579;;;4393;5673;6482;8736;10699;1258;705
1508050;Trairão;PA;;4,87;6,20;4,67;4,16;3,24;;7072;12790;15980;16751;15210;;1451;2062;3425;4027;4688;5928;685;555
1508084;Tucumã;PA;4,73;4,75;4,21;3,87;3,55;3,08;29457;34277;25080;25978;33583;39484;6230;7220;5960;6712;9450;12825;14699;1040;834
1508100;Tucuruí;PA;5,17;4,90;4,59;4,35;4,11;3,31;81202;58259;73127;88479;96779;90701;15692;11901;15931;20339;23548;27400;34316;4773;2143
1508126;Ulianópolis;PA;;4,38;4,42;4,63;5,05;3,90;;9635;18325;30039;43228;37862;;2202;4147;6489;8566;9700;10610;644;266
1508159;Uruará;PA;5,23;5,26;4,57;4,04;3,94;3,05;25222;37065;44590;34749;44351;43410;4823;7047;9753;8611;11252;14245;19556;3222;2089
1508209;Vigia;PA;5,70;5,18;4,93;4,32;4,05;3,22;36973;36931;39835;43775;47835;50779;6487;7134;8083;10131;11797;15791;19249;1993;1465
1508308;Viseu;PA;5,45;5,38;5,40;4,82;4,58;3,61;62910;56811;50395;52779;56573;58608;11543;10562;9327;10951;12358;16235;19239;2009;995
1508357;Vitória do Xingu;PA;;5,10;4,61;4,19;4,49;3,17;;12778;10086;9646;13360;15562;;2504;2190;2300;2976;4906;7263;1307;1050
1508407;Xinguara;PA;4,93;4,37;4,04;3,75;3,52;2,94;47169;39034;35115;37994;40241;52546;9564;8923;8692;10122;11438;17900;20839;2130;809
1600055;Serra do Navio;AP;;5,13;4,50;4,61;3,81;3,40;;2686;3273;3651;4368;4631;;524;727;792;1146;1364;1831;212;255
1600105;Amapá;AP;5,63;5,23;5,08;4,67;4,50;3,85;8050;6410;6965;7435;8028;7911;1430;1226;1371;1591;1783;2055;2548;250;243
1600154;Pedra Branca do Amapari;AP;;4,29;4,79;4,40;4,09;3,89;;3004;3910;7096;10291;12807;;700;816;1611;2516;3290;4736;738;708
1600204;Calçoene;AP;4,97;4,25;4,79;4,19;3,98;3,76;5094;5492;6369;8344;8943;10432;1024;1293;1329;1991;2246;2778;3904;534;592
1600212;Cutias;AP;;5,75;5,77;5,04;4,53;3,83;;1962;3215;4306;4676;4426;;341;557;855;1032;1156;1502;164;182
1600238;Ferreira Gomes;AP;5,72;5,37;4,96;4,45;4,32;3,71;2333;2576;3525;4999;5741;6657;408;480;711;1123;1330;1796;2742;458;488
1600253;Itaubal;AP;;5,08;5,42;4,95;4,46;4,10;;1919;2755;3359;4229;5583;;378;508;679;948;1361;2022;238;423
